BROADEST,FROMFAIRESTCREATURES,GICMI EAKFJ HCUIS MVISS 
ESOTERIC,WHENFORTYWINTERSSHAL,AZSGJ FZVCO WGXVZ UWZOE 
RENEWALS,LOOKINTHYGLASSANDTEL,CSBOE NEZPK YEOSL FUXRP 
SERFHOOD,UNTHRIFTYLOVELINESSW,MRKMY WTWQP FALZW QWWJB 
FINETUNE,THOSEHOURSTHATWITHGE,YPBWX BBYWA GLTNJ MYPTI 
PROMPTLY,THENLETNOTWINTERSRAG,IYSZA XELDK KUCMP PHIOS 
POISONER,LOINTHEORIENTWHENTHE,ACQFH UIFGW MFHJL VCHPW 
ALDERMAN,MUSICTOHEARWHYHEARST,MFVMT FOUEL UAYKH RACVX 
THANKFUL,ISITFORFEARTOWETAWID,BZIGP TLQXH RGYBY ETDIQ 
PROTRUDE,FORSHAMEDENYTHATTHOU,UFFLY UPISV BRKBD XIYCN 
PSALTERY,ASFASTASTHOUSHALTWAN,PKFLL XRQIZ OFLLR JIOAY 
BAFFLING,WHENIDOCOUNTTHECLOCK,XHJST LBIPU SYEPR IMOHP 
HUMOROUS,OTHATYOUWEREYOURSELF,VNTOK MIMDY DSPCO JZYXT 
PLACATED,NOTFROMTHESTARSDOIMY,CZTHR HQWWP SVAKW GDTMA 
RAVELLED,WHENICONSIDEREVERYTH,NHZRT NSQJI YICPZ HIYOL 
CONSUMER,BUTWHEREFOREDONOTYOU,DIGOB QVVHC EWXAR FVMBM 
CLOSURES,WHOWILLBELIEVEMYVERS,YSCOC CPTGW WWPVQ QXPFK 
RENTIERS,SHALLICOMPARETHEETOA,JLNET MTGDT NKMXY WVXBT 
STAGNATE,DEVOURINGTIMEBLUNTTH,VXVUH RBRYM ISRBE YFMTN 
DUCKPOND,AWOMANSFACEWITHNATUR,DQQWP BFIDW GGXHU QDNWB 
FORETOLD,SOISITNOTWITHMEASWIT,XCZWB HYRYK ZXAAP DXKZX 
BELIEVED,MYGLASSSHALLNOTPERSU,NCRTE NWVIE WTRJX SFVDC 
SNUFFLES,ASANUNPERFECTACTORON,SFUSZ YTWJS YHYLG LGEIS 
PEEPHOLE,MINEEYEHATHPLAYDTHEP,BMRTL MPLPX LESOJ HILIE 
OVERACTS,LETTHOSEWHOAREINFAVO,ZZXKH QLWKC SRRGB FTVZF 
VETERANS,LORDOFMYLOVETOWHOMIN,GSKHF FZQGS OIKOJ ZJQBR 
EPISTLES,WEARYWITHTOILIHASTEM,ATIJR HMLLI WAETL SWIME 
